"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type"
"SSF","customer_segment_analytics","customer_id","SSF_SOURCE","ranked_customers","customer_id","false","rc.customer_id AS customer_id","strict"
"SSF","customer_segment_analytics","email","SSF_SOURCE","stg_customers","email","false","c.email AS email","strict"
"SSF","customer_segment_analytics","first_name","SSF_SOURCE","stg_customers","first_name","false","c.first_name AS first_name","strict"
"SSF","customer_segment_analytics","last_name","SSF_SOURCE","stg_customers","last_name","false","c.last_name AS last_name","strict"
"SSF","customer_segment_analytics","order_count","SSF_SOURCE","ranked_customers","order_count","false","rc.order_count AS order_count","strict"
"SSF","customer_segment_analytics","total_revenue","SSF_SOURCE","ranked_customers","total_revenue","false","rc.total_revenue AS total_revenue","strict"
"SSF","customer_segment_analytics","avg_orders_overall","SSF_SOURCE","ranked_customers","avg_orders_overall","false","rc.avg_orders_overall AS avg_orders_overall","strict"
"SSF","customer_segment_analytics","max_revenue_overall","SSF_SOURCE","ranked_customers","max_revenue_overall","false","rc.max_revenue_overall AS max_revenue_overall","strict"
"SSF","customer_segment_analytics","revenue_rank","SSF_SOURCE","ranked_customers","revenue_rank","false","rc.revenue_rank AS revenue_rank","strict"
"SSF","customer_segment_analytics","segment","SSF_SOURCE","ranked_customers","segment","false","rc.segment AS segment","strict"
"SSF","customer_segment_analytics","","SSF_SOURCE","raw_orders","","false","","strict"
